epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.404,0.77231,2.28777,1.17119,0.89809,0.16088,0.54876,0.42674,0.63904,2.74694,1.09383,0.00041441,0.00041441,0.00041441
2,340.819,0.78423,1.49138,1.18309,0.73695,0.68605,0.76693,0.59095,0.75903,1.88492,1.23467,0.000815287,0.000815287,0.000815287
3,507.141,0.80088,1.42338,1.17598,0.80975,0.51976,0.64313,0.44006,0.89611,2.08132,1.39506,0.00118787,0.00118787,0.00118787
4,673.026,0.8532,1.32805,1.22385,0.59195,0.65262,0.66709,0.43803,1.04099,2.12901,1.49571,0.00128753,0.00128753,0.00128753
5,858.498,0.85143,1.2551,1.19363,0.8217,0.56995,0.72128,0.52292,0.87199,1.59275,1.29273,0.00124037,0.00124037,0.00124037
6,1044.5,0.82191,1.11852,1.18202,0.68596,0.73681,0.78886,0.60734,0.78607,1.50895,1.22933,0.00119322,0.00119322,0.00119322
7,1226.73,0.81367,1.08007,1.18944,0.8259,0.59631,0.70143,0.5442,0.72294,1.73475,1.16051,0.00114606,0.00114606,0.00114606
8,1406.87,0.7943,1.05462,1.18833,0.57953,0.56347,0.58577,0.46761,0.72694,1.9006,1.14831,0.0010989,0.0010989,0.0010989
9,1578.28,0.74491,0.97855,1.13313,0.88623,0.88909,0.92833,0.75678,0.66848,0.94528,1.07661,0.00105174,0.00105174,0.00105174
10,1794.02,0.73943,0.91733,1.13717,0.87134,0.87586,0.92772,0.7443,0.66547,0.98409,1.09429,0.00100459,0.00100459,0.00100459
11,2049.11,0.70609,0.84743,1.11334,0.92244,0.87853,0.95035,0.77256,0.65389,0.88349,1.0835,0.00095743,0.00095743,0.00095743
12,2316.03,0.70429,0.86697,1.11766,0.93032,0.87466,0.94833,0.78034,0.62566,0.87198,1.06426,0.000910273,0.000910273,0.000910273
13,2549.29,0.67296,0.81135,1.08645,0.87693,0.89547,0.96373,0.81157,0.59009,0.7561,1.03444,0.000863116,0.000863116,0.000863116
14,2793.77,0.67959,0.76436,1.08736,0.95072,0.92238,0.96497,0.81945,0.57145,0.66042,1.027,0.000815959,0.000815959,0.000815959
15,3015.6,0.65613,0.73198,1.07684,0.95998,0.91851,0.97422,0.83698,0.56021,0.61317,1.01093,0.000768802,0.000768802,0.000768802
16,3229.16,0.65754,0.72456,1.08126,0.93442,0.91522,0.97584,0.83127,0.56889,0.64145,1.01285,0.000721645,0.000721645,0.000721645
17,3448,0.64214,0.68302,1.06673,0.97212,0.94929,0.98471,0.87087,0.49566,0.55057,0.96414,0.000674488,0.000674488,0.000674488
18,3663.57,0.60527,0.60542,1.04141,0.96611,0.96945,0.99042,0.87683,0.46969,0.51468,0.94362,0.000627331,0.000627331,0.000627331
19,3865.11,0.61656,0.62715,1.06087,0.95771,0.96937,0.99007,0.85887,0.50339,0.53553,0.9645,0.000580174,0.000580174,0.000580174
20,4060.26,0.59491,0.6091,1.04132,0.9708,0.96318,0.98913,0.86407,0.49999,0.49738,0.96575,0.000533017,0.000533017,0.000533017
21,4285.61,0.55592,0.78477,1.03682,0.92316,0.90808,0.97004,0.85787,0.49317,0.6335,0.94542,0.00048586,0.00048586,0.00048586
22,4510.57,0.49511,0.59436,0.9686,0.97362,0.97309,0.9922,0.89582,0.43988,0.46994,0.91705,0.000438703,0.000438703,0.000438703
23,4697.35,0.46318,0.55389,0.97701,0.96928,0.97653,0.9922,0.89703,0.43218,0.45449,0.92071,0.000391546,0.000391546,0.000391546
24,4880.79,0.42855,0.4972,0.93248,0.93938,0.9478,0.98653,0.88965,0.42152,0.4688,0.90698,0.000344389,0.000344389,0.000344389
25,5061.48,0.44962,0.51898,0.94654,0.98848,0.97595,0.99391,0.90732,0.40229,0.41434,0.88988,0.000297232,0.000297232,0.000297232
26,5243.07,0.41766,0.47323,0.92565,0.99217,0.98806,0.99428,0.91601,0.38532,0.38174,0.87517,0.000250075,0.000250075,0.000250075
27,5422.9,0.38795,0.45464,0.91966,0.98562,0.98336,0.99467,0.92634,0.37188,0.36747,0.86966,0.000202918,0.000202918,0.000202918
28,5609.03,0.38314,0.43434,0.91187,0.98627,0.99482,0.99475,0.93357,0.35381,0.35412,0.85755,0.000155761,0.000155761,0.000155761
29,5794.52,0.36969,0.41034,0.91205,0.99515,0.99858,0.9949,0.93395,0.34553,0.34259,0.85492,0.000108604,0.000108604,0.000108604
30,5977.02,0.3674,0.40768,0.90376,0.99628,0.99763,0.99491,0.93507,0.34015,0.33452,0.85275,6.1447e-05,6.1447e-05,6.1447e-05
